"Bloco","Países"
"África","Mayotte"
"Ásia (Exclusive Oriente Médio)","Taiwan (Formosa)"
"Ásia (Exclusive Oriente Médio)","Malásia"
"América do Sul","Internação na Zona Franca de Manaus"
"América do Sul","Colômbia"
"Europa","Groenlândia"
"Ásia (Exclusive Oriente Médio)","Singapura"
"Ásia (Exclusive Oriente Médio)","Azerbaijão"
"Europa","Portugal"
"América do Norte","México"
"África","Burundi"
"União Europeia - UE","Bélgica"
"União Europeia - UE","Irlanda"
"Ásia (Exclusive Oriente Médio)","Butão"
"América Central e Caribe","Porto Rico"
"Oceania","Samoa"
"América Central e Caribe","Jamaica"
"América do Sul","Uruguai"
"União Europeia - UE","Romênia"
"América Central e Caribe","Bermudas"
"Ásia (Exclusive Oriente Médio)","Japão"
"Ásia (Exclusive Oriente Médio)","Lebuan, Ilhas"
"União Europeia - UE","Bulgária"
"Europa","Faroe, Ilhas"
"Europa","Turquia"
"Comunidade Andina das Nações - CAN","Bolívia"
"América do Sul","Chile"
"Oceania","Nova Caledônia"
"Europa","Dinamarca"
"Ásia (Exclusive Oriente Médio)","Cazaquistão"
"África","Mali"
"Ásia (Exclusive Oriente Médio)","Nepal"
"Comunidade Andina das Nações - CAN","Peru"
"Europa","União das Repúblicas Socialistas Soviéticas"
"Europa","Suécia"
"África","Congo, República Democrática"
"Europa","Liechtenstein"
"União Europeia - UE","Canal, Ilhas do (Guernsey)"
"União Europeia - UE","Madeira, Ilha da"
"Europa","Itália"
"Oceania","Pacífico, Ilhas do (Território Fideicomisso EUA)"
"África","Santa Helena"
"África","Mauritânia"
"Europa","Suíça"
"Europa","Rússia"
"Oceania","Wake, Ilha"
"América Central e Caribe","Guatemala"
"Oceania","Pitcairn"
"Ásia (Exclusive Oriente Médio)","Quirguistão"
"Oriente Médio","Dubai"
"Ásia (Exclusive Oriente Médio)","Mongólia"
"África","Saara Ocidental"
"Ásia (Exclusive Oriente Médio)","Uzbequistão"
"África","Suazilândia"
"Oceania","Fiji"
"América do Sul","Bolívia"
"Europa","Macedônia"
"América Central e Caribe","Curaçao"
"Associação de Nações do Sudeste Asiático - ASEAN","Camboja"
"Europa","Canal, Ilhas do (Jersey)"
"América do Sul","Peru"
"África","Tanzânia"
"África","Guiné-Bissau"
"Oriente Médio","Arábia Saudita"
"América Central e Caribe","Guadalupe"
"União Europeia - UE","Polônia"
"União Europeia - UE","Aland, Ilhas"
"África","Marrocos"
"América Central e Caribe","Antígua e Barbuda"
"África","Gabão"
"Comunidade Andina das Nações - CAN","Colômbia"
"África","Sudão do Sul"
"África","São Tomé e Príncipe"
"África","Quênia"
"Oriente Médio","Iêmen"
"União Europeia - UE","Finlândia"
"União Europeia - UE","Espanha"
"Oceania","Christmas (Navidad), Ilha"
"Ásia (Exclusive Oriente Médio)","Tailândia"
"América do Sul","Guiana"
"Oceania","Kiribati"
"Oceania","Vanuatu"
"União Europeia - UE","Jersey"
"União Europeia - UE","Tcheca, República"
"Ásia (Exclusive Oriente Médio)","Índia"
"Europa","Islândia"
"África","Zimbábue"
"África","Moçambique"
"Europa","Ilha de Man"
"África","Botsuana"
"África","Ruanda"
"Europa","Letônia"
"Associação de Nações do Sudeste Asiático - ASEAN","Mianmar"
"Europa","Terras Austrais Francesas"
"Mercado Comum do Sul - Mercosul","Argentina"
"África","Costa do Marfim"
"América do Sul","Guiana Francesa"
"Europa","Guernsey"
"União Europeia - UE","Canárias, Ilhas"
"Oceania","Niue"
"Ásia (Exclusive Oriente Médio)","China"
"Europa","Alemanha Oriental"
"América Central e Caribe","El Salvador"
"América Central e Caribe","São Pedro e Miquelon"
"União Europeia - UE","Alemanha"
"África","Malavi"
"Oceania","Papua Nova Guiné"
"África","Angola"
"América Central e Caribe","São Martinho, Ilha de (parte francesa)"
"Ásia (Exclusive Oriente Médio)","Filipinas"
"Associação de Nações do Sudeste Asiático - ASEAN","Laos"
"Ásia (Exclusive Oriente Médio)","Afeganistão"
"Ásia (Exclusive Oriente Médio)","Maldivas"
"África","Somália"
"Oceania","Micronésia"
"Europa","Moldávia"
"Oriente Médio","Síria"
"América do Sul","Paraguai"
"Europa","Chipre"
"Associação de Nações do Sudeste Asiático - ASEAN","Indonésia"
"América do Norte","Canadá"
"Europa","Eslováquia"
"América Central e Caribe","Haiti"
"América do Norte","Estados Unidos"
"Oriente Médio","Israel"
"América do Sul","Falkland (Malvinas)"
"União Europeia - UE","Grécia"
"América Central e Caribe","Virgens, Ilhas (Americanas)"
"África","Egito"
"África","Tunísia"
"Europa","Luxemburgo"
"União Europeia - UE","Malta"
"Europa","Sérvia"
"Oceania","Cocos (Keeling), Ilhas"
"África","Senegal"
"América Central e Caribe","República Dominicana"
"Ásia (Exclusive Oriente Médio)","Turcomenistão"
"América Central e Caribe","São Bartolomeu"
"América Central e Caribe","São Vicente e Granadinas"
"União Europeia - UE","Eslovênia"
"União Europeia - UE","Hungria"
"Europa","Albânia"
"Ásia (Exclusive Oriente Médio)","Tadjiquistão"
"América Central e Caribe","Zona do Canal do Panamá"
"Associação de Nações do Sudeste Asiático - ASEAN","Vietnã"
"União Europeia - UE","Croácia"
"África","Gâmbia"
"África","Líbia"
"Europa","Estônia"
"Ásia (Exclusive Oriente Médio)","Macau"
"Ásia (Exclusive Oriente Médio)","Bangladesh"
"Oceania","Tuvalu"
"América Central e Caribe","Bonaire, Saint Eustatius e Saba"
"América Central e Caribe","Turcas e Caicos, Ilhas"
"Ásia (Exclusive Oriente Médio)","Brunei"
"Europa","Lituânia"
"União Europeia - UE","Países Baixos (Holanda)"
"Europa","Tchecoslováquia"
"Europa","Inglaterra"
"Oceania","Pacífico, Ilhas do (Administração dos EUA)"
"Ásia (Exclusive Oriente Médio)","Geórgia"
"Europa","Gibraltar"
"Europa","França"
"América Central e Caribe","Saint Kitts e Nevis"
"América Central e Caribe","Sint Maarten"
"União Europeia - UE","Áustria"
"Europa","Canárias, Ilhas"
"União Europeia - UE","Guernsey"
"África","Madagascar"
