CO_ANO;CO_MES;CO_NCM;CO_UNID;CO_PAIS;SG_UF_NCM;CO_VIA;CO_URF;QT_ESTAT;KG_LIQUIDO;VL_FOB;CO_SH
2000;10;22041010;17;586;SP;9;910600;698;698;784;2204
2000;10;22042100;17;586;SP;9;910600;1578;1632;995;2204
2000;11;22042900;17;586;SP;9;910600;46317;46317;23743;2204
2000;11;22042900;17;586;SC;7;145300;72680;72680;33699;2204
2000;11;22042100;17;586;SC;9;145300;16262;16262;10406;2204
2000;12;22042900;17;586;RS;7;910600;18000;18000;8108;2204
2000;9;22042900;17;586;SC;7;145300;5198;5198;2665;2204
2000;10;22042900;17;586;SC;9;910600;19584;19584;7450;2204
2000;7;22042100;17;23;RS;1;1010500;9900;9900;15620;2204
2000;11;22042900;17;845;RS;9;1010252;342;816;616;2204
2000;12;22042100;17;40;ND;1;717600;35;26;109;2204
2000;9;22041010;17;169;RS;1;1010500;3200;32000;60800;2204
2000;6;22042900;17;586;RS;7;910600;51000;51000;23465;2204
2000;6;22041010;17;249;SP;4;817600;405;675;1312;2204
2000;12;22043000;17;586;RS;9;910600;12747;12747;13473;2204
2000;3;22042100;17;97;SC;6;145200;4752;4177;2428;2204
2000;7;22041010;17;845;RS;9;1011000;552;552;366;2204
2000;4;22042900;17;586;SC;7;145300;38640;44796;17831;2204
2000;8;22041010;17;399;RS;1;1010500;1124;1127;5286;2204
2000;9;22042900;17;97;PR;6;145200;44574;44574;11980;2204
2000;5;22042100;17;845;RS;7;1011051;1200;1200;827;2204
2000;4;22042100;17;845;SC;9;1010252;30;90;55;2204
2000;4;22042900;17;845;SP;9;1010252;12;12;7;2204
2000;4;22042100;17;586;RS;9;910600;58645;59481;28292;2204
2000;8;22042100;17;586;SP;9;910600;1435;1435;1065;2204
2000;8;22042100;17;586;RS;9;910600;4117;4288;4393;2204
2000;8;22041010;17;97;SP;7;145200;90;91;220;2204
2000;8;22042100;17;845;RS;9;1011000;5092;5092;3764;2204
2000;11;22042100;17;586;SC;9;910600;874;874;358;2204
2000;7;22042100;17;845;SP;9;1010252;240;240;155;2204
2000;7;22042100;17;586;SP;9;910600;1877;1878;1355;2204
2000;9;22042900;17;586;SP;9;910600;25344;25344;13640;2204
2000;1;22042900;17;97;SP;6;145200;2328;2328;1618;2204
2000;10;22041010;17;249;SP;4;817600;248;396;825;2204
2000;3;22042100;17;845;RS;9;1010252;2490;2490;1461;2204
2000;3;22042100;17;249;SP;4;817600;312;410;720;2204
2000;1;22042900;17;586;RS;9;910600;228736;231487;93923;2204
2000;6;22041010;17;845;RS;9;1011000;24;24;16;2204
2000;12;22042100;17;586;PR;7;145300;1102;1102;329;2204
2000;7;22042100;17;586;SC;7;145300;15615;15615;10571;2204
2000;5;22042100;17;586;SC;7;145300;31660;31670;19087;2204
2000;6;22043000;17;586;RS;9;910600;80;80;75;2204
2000;9;22042100;17;586;SC;7;145300;5456;5456;2963;2204
2000;12;22042900;17;399;RS;1;1010500;93212;92620;45778;2204
2000;4;22042100;17;97;PR;6;145200;691;676;397;2204
2000;8;22042900;17;586;RS;9;910600;162540;162540;79653;2204
2000;8;22042100;17;586;SC;9;910600;955;957;466;2204
2000;8;22042900;17;586;SP;9;910600;48936;48936;25752;2204
2000;8;22042100;17;399;RS;1;1010500;18450;15430;23083;2204
2000;2;22041010;17;586;PR;9;910651;46;46;28;2204
2000;4;22043000;17;586;PR;9;910651;120;120;51;2204
2000;2;22043000;17;399;RS;1;1010500;1022;8094;19765;2204
2000;8;22042900;17;586;SC;7;910600;18;16150;6187;2204
2000;8;22042900;17;586;PR;7;145300;30360;30360;19039;2204
2000;2;22042100;17;586;SP;9;910600;48;48;44;2204
2000;6;22042100;17;586;SP;9;910600;2344;4256;2603;2204
2000;8;22042100;17;586;SP;7;145300;540;540;1685;2204
2000;2;22042100;17;275;SP;4;817600;360;600;1344;2204
2000;11;22041010;17;586;SP;9;910600;29;29;32;2204
2000;11;22042100;17;586;SC;7;145300;54066;54066;31886;2204
2000;6;22042100;17;586;PR;9;910651;8;86;51;2204
2000;12;22042100;17;586;SC;7;145300;39230;39230;23078;2204
2000;1;22042900;17;845;SC;9;1010252;30;324;49;2204
2000;11;22042900;17;399;RS;1;1010500;47281;47070;28548;2204
2000;10;22042900;17;586;RS;7;910600;31356;31356;14871;2204
2000;10;22042900;17;845;RS;9;1010252;972;2292;1722;2204
2000;11;22042900;17;586;SC;9;910600;10198;10198;4183;2204
