CO_ANO;CO_MES;SH4;CO_PAIS;SG_UF_MUN;CO_MUN;KG_LIQUIDO;VL_FOB
2000;9;2204;586;MS;5206606;10654;5628
2000;12;2204;158;RS;4314548;600;2700
2000;3;2204;249;SP;3450308;410;720
2000;10;2204;97;MS;5206606;1520;938
2000;6;2204;586;PR;4123808;2994;2793
2000;11;2204;399;RS;4302105;9950;8266
2000;5;2204;271;RS;4302105;11664;23069
2000;1;2204;845;RS;4317103;840;536
2000;10;2204;275;SP;3450308;981;2325
2000;6;2204;845;RS;4300034;1200;817
2000;12;2204;845;RS;4311007;180;133
2000;2;2204;399;SP;3439400;162;180
2000;8;2204;586;PR;4108304;298707;146366
2000;8;2204;399;SP;3450308;29990;29428
2000;9;2204;586;SP;3425904;2112;2242
2000;8;2204;399;RS;4314902;110;536
2000;8;2204;845;RS;4311007;1658;1230
2000;8;2204;586;RS;4308607;7192;11200
2000;6;2204;586;PR;4108304;374310;174195
2000;11;2204;586;PR;4123808;2104;1103
2000;1;2204;586;PR;4108304;400778;205084
2000;7;2204;97;MS;5203207;43483;19856
2000;11;2204;845;RS;4317103;522;329
2000;9;2204;169;RS;4308607;32000;60800
2000;9;2204;399;RS;4302105;155310;79145
2000;5;2204;845;RS;4311007;3132;2140
2000;10;2204;845;RS;4315305;1440;1101
2000;7;2204;271;RS;4302105;5832;11534
2000;10;2204;845;RS;4317103;48;32
2000;9;2204;845;RS;4311007;1068;801
2000;6;2204;845;RS;4315305;1104;751
2000;12;2204;399;SP;3450308;92620;45778
2000;2;2204;97;MT;5102504;96;69
2000;8;2204;399;RS;4302105;9767;11908
2000;4;2204;399;RS;4302105;12900;11450
2000;9;2204;97;MS;5206606;67314;25793
2000;12;2204;586;MS;5206606;158640;63338
2000;10;2204;586;PR;4123808;524;293
2000;5;2204;586;PR;4108304;328035;154696
2000;1;2204;97;MS;5203207;58414;26770
2000;12;2204;586;PR;4108809;1972;779
2000;3;2204;586;MS;5206606;43920;20932
2000;5;2204;845;RS;4317103;2328;1548
2000;9;2204;845;RS;4315305;1308;1011
2000;7;2204;586;PR;4108809;367;132
2000;5;2204;845;RS;4305439;92;55
2000;1;2204;97;MT;5102504;60;42
2000;11;2204;40;RJ;3304557;9128;6774
2000;2;2204;586;PR;4108304;233979;121825
2000;2;2204;845;RS;4317103;588;392
2000;4;2204;586;PR;4108809;360;153
2000;2;2204;845;RS;4305439;460;214
2000;8;2204;845;RS;4315305;2064;1597
2000;12;2204;149;RS;4308607;4480;8538
2000;7;2204;845;RS;4311007;2688;1920
2000;11;2204;399;SP;3450308;23770;12157
2000;11;2204;399;SP;3439400;21000;14700
2000;12;2204;586;PR;4123808;1736;910
2000;7;2204;97;MS;5206606;24917;8639
2000;10;2204;586;PR;4108809;270;93
2000;10;2204;249;SP;3450308;396;825
2000;6;2204;97;PR;4108809;80316;79132
2000;7;2204;586;MS;5206606;45106;24127
2000;12;2204;40;RJ;3304557;712;5517
2000;6;2204;845;RS;4317103;24;16
2000;6;2204;586;MS;5206606;9864;5494
2000;3;2204;271;RS;4302105;5832;11534
2000;7;2204;586;PR;4123808;2591;1703
2000;9;2204;586;PR;4108809;205;72
2000;7;2204;845;RS;4315305;1209;842
2000;2;2204;97;MS;5205004;64000;12748
2000;2;2204;249;SP;3450308;1118;2700
2000;2;2204;399;SP;3450308;68410;36579
2000;5;2204;845;RS;4300034;1200;827
2000;5;2204;586;PR;4108809;983;449
2000;4;2204;845;RS;4315305;144;84
2000;4;2204;845;RS;4317103;420;292
2000;10;2204;586;PR;4108304;349938;172689
2000;11;2204;586;PR;4108304;392635;186101
2000;1;2204;845;RS;4311007;2328;1214
2000;12;2204;586;PR;4108304;556997;269103
2000;9;2204;399;SP;3439400;21000;28350
2000;12;2204;97;SP;3450308;634;1540
2000;3;2204;97;MS;5203207;43737;17729
2000;1;2204;586;PR;4123808;360;266
2000;1;2204;586;PR;4108809;1917;887
2000;7;2204;399;RS;4302105;147000;72030
2000;5;2204;586;PR;4123808;1182;844
2000;1;2204;271;RS;4302105;5832;11534
2000;3;2204;845;RS;4315305;2254;1278
2000;5;2204;586;MS;5206606;76173;40996
2000;8;2204;586;MS;5206606;141306;87570
2000;5;2204;845;RS;4315305;1212;827
2000;4;2204;399;SP;3450308;23780;12519
2000;8;2204;97;SP;3450308;91;220
2000;11;2204;586;MS;5206606;143008;75991
2000;9;2204;586;PR;4108304;384604;181436
2000;6;2204;586;PR;4108809;518;262
2000;11;2204;586;PR;4108809;1145;338
2000;11;2204;40;SP;3450308;61197;236053
2000;7;2204;399;SP;3439400;6480;16140
2000;7;2204;23;RS;4302105;9900;15620
2000;7;2204;97;SP;3450308;91;220
2000;1;2204;275;SP;3450308;220;504
2000;12;2204;845;RS;4317103;2145;1426
2000;9;2204;586;PR;4123808;92;44
2000;5;2204;399;SP;3439400;1134;1890
2000;7;2204;845;RS;4317103;552;366
2000;5;2204;399;SP;3450308;20980;11195
2000;4;2204;586;MS;5206606;69264;35583
2000;2;2204;586;PR;4108809;2321;1101
2000;5;2204;97;SP;3450308;91;220
2000;4;2204;845;RS;4311007;2716;1694
2000;4;2204;271;RS;4302105;11664;23069
2000;2;2204;399;RS;4308607;8094;19765
2000;8;2204;239;RS;4308607;7800;17004
2000;10;2204;97;SP;3450308;905;2200
2000;3;2204;586;PR;4108304;371726;162689
2000;3;2204;845;RS;4311007;4450;2755
2000;7;2204;586;PR;4108304;309365;146968
2000;10;2204;845;RS;4311007;852;621
2000;7;2204;399;SP;3450308;20950;11445
2000;3;2204;845;RS;4317103;168;113
2000;11;2204;845;RS;4311007;288;217
2000;9;2204;845;RS;4317103;432;324
2000;2;2204;586;MS;5206606;37624;18111
2000;4;2204;586;PR;4108304;296297;132982
2000;12;2204;528;SP;3446801;79;135
2000;5;2204;97;MS;5203207;575;219
2000;8;2204;249;SP;3450308;390;967
2000;4;2204;97;MS;5203207;25872;9659
2000;8;2204;586;PR;4108809;594;212
2000;8;2204;586;PR;4123808;2334;1748
2000;10;2204;40;SP;3450308;180478;133491
2000;6;2204;845;RS;4311007;612;434
2000;11;2204;528;SP;3446801;317;560
2000;11;2204;845;RS;4315305;528;399
2000;12;2204;845;RS;4315305;162;123
2000;6;2204;249;SP;3450308;908;1557
2000;8;2204;845;RS;4317103;7100;4951
2000;2;2204;275;SP;3450308;600;1344
2001;11;2204;586;PR;4108304;373135;150049
2001;1;2204;586;PR;4108809;736;314
2001;10;2204;586;PR;4108809;1243;439
2001;11;2204;271;SP;3425201;2916;13582
2001;12;2204;239;PR;4108304;8496;3876
2001;11;2204;271;RS;4302105;5832;11534
2001;9;2204;275;SP;3418800;912;1758
2001;5;2204;845;RS;4315305;420;259
2001;2;2204;845;RS;4317103;774;619
2001;2;2204;586;SP;3450308;8091;12600
2001;4;2204;845;RS;4315305;180;127
2001;7;2204;275;RS;4302105;4820;9639
2001;3;2204;586;PR;4108304;500422;229874
2001;11;2204;586;PR;4108809;2576;817
2001;3;2204;586;PR;4108809;1427;580
2001;8;2204;586;PR;4123808;288;158
2001;11;2204;23;SP;3418800;656;1274
2001;3;2204;586;PR;4123808;36;43
2001;2;2204;97;SP;3450308;453;1100
2001;4;2204;399;RS;4302105;10785;10630
2001;7;2204;586;SP;3450308;2697;4200
2001;7;2204;586;PR;4108809;1611;694
2001;1;2204;586;PR;4108304;356675;181637
2001;11;2204;399;SP;3439400;21000;14700
2001;10;2204;586;MS;5206606;106742;53189
2001;6;2204;271;RS;4302105;5832;11534
2001;5;2204;586;MS;5206606;85552;34263
2001;1;2204;399;SP;3439400;21000;28350
2001;3;2204;845;RS;4317103;1094;761
2001;3;2204;399;SP;3450308;23770;11719
2001;5;2204;586;PR;4108809;1547;668
2001;5;2204;23;SP;3418800;1673;11157
2001;12;2204;586;RS;4308201;900;1140
2001;5;2204;249;SP;3418800;2894;6079
2001;10;2204;239;PR;4108304;2170;200
2001;8;2204;399;SP;3450308;23790;9432
2001;4;2204;399;SP;3439400;5598;14420
2001;4;2204;586;PR;4123808;316;240
2001;12;2204;845;PR;4108304;10223;3448
2001;10;2204;586;PR;4108304;378070;147910
2001;3;2204;586;MS;5206606;41784;15328
2001;11;2204;97;SP;3450308;1629;3960
2001;3;2204;399;RS;4302105;13115;11860
2001;3;2204;845;RS;4315305;108;75
2001;5;2204;586;PR;4123808;581;484
2001;11;2204;23;RS;4302105;560;1229
2001;11;2204;63;RS;4302105;24236;23256
2001;5;2204;399;SP;3450308;23910;9835
2001;9;2204;586;PR;4123808;279;256
2001;2;2204;586;PR;4108304;214572;104147
2001;7;2204;586;PR;4108304;401997;172423
2001;2;2204;845;RS;4311007;240;160
2001;4;2204;271;RS;4302105;5832;11534
2001;10;2204;40;RJ;3304557;1370;513
2001;10;2204;249;SP;3418800;9;27
2001;12;2204;586;MS;5206606;130130;55062
2001;9;2204;586;PR;4108304;252753;102971
2001;8;2204;586;PR;4108304;284265;119826
2001;12;2204;23;SP;3418800;74;703
2001;8;2204;399;SP;3439400;21000;27300
2001;2;2204;63;SP;3418800;4545;18082
2001;2;2204;97;MS;5206606;47710;15336
2001;4;2204;23;SP;3418800;2160;4608
2001;4;2204;586;PR;4108809;1211;497
2001;4;2204;399;SP;3450308;23870;10817
2001;4;2204;97;SP;3450308;272;660
2001;9;2204;586;PR;4108809;2645;1076
2001;10;2204;399;RS;4302105;16536;17935
2001;11;2204;40;RJ;3304557;9959;6838
2001;12;2204;40;RJ;3304557;2998;14767
2001;8;2204;586;PR;4108809;1971;847
2001;1;2204;845;RS;4311007;4404;3233
2001;8;2204;97;SP;3450308;91;220
2001;11;2204;275;SP;3418800;2036;6654
2001;9;2204;40;RJ;3304557;366;328
2001;12;2204;97;MS;5203207;10580;4085
2001;6;2204;845;RS;4317103;960;490
2001;9;2204;249;SP;3418800;340;725
2001;2;2204;586;PR;4108809;748;314
2001;1;2204;586;PR;4123808;1818;938
2001;4;2204;249;SP;3418800;72;156
2001;7;2204;40;RJ;3304557;432;151
2001;11;2204;289;PR;4106902;259;389
2001;9;2204;97;MS;5206606;160612;50058
2001;6;2204;586;PR;4123808;397;299
2001;10;2204;97;SP;3450308;181;440
2001;6;2204;97;MS;5206606;60136;19928
2001;6;2204;249;SP;3418800;768;2253
2001;12;2204;589;PR;4108304;14525;4334
2001;9;2204;586;MS;5206606;61230;30058
2001;12;2204;97;PR;4108304;3585;733
2001;8;2204;275;SP;3418800;150;24
2001;6;2204;97;SP;3450308;91;220
2001;4;2204;97;MT;5108402;1980;872
2001;10;2204;169;RS;4308607;7920;12000
2001;4;2204;845;RS;4317103;84;47
2001;7;2204;586;PR;4123808;276;115
2001;7;2204;399;RS;4308607;24552;54064
2001;12;2204;586;PR;4123808;458;228
2001;12;2204;586;PR;4108304;263324;116108
2001;12;2204;586;PR;4108809;1629;705
2001;5;2204;586;PR;4108304;274591;118612
2001;5;2204;399;RS;4302105;60000;29400
2001;8;2204;586;MS;5206606;60280;33197
2001;8;2204;63;SP;3418800;61;120
2001;1;2204;845;RS;4317103;96;60
2001;12;2204;63;SP;3418800;2308;2813
2001;8;2204;271;RS;4302105;5832;11534
2001;6;2204;586;PR;4108809;1377;546
2001;9;2204;586;RS;4308607;1707;5824
2001;10;2204;63;SP;3418800;1477;2393
2001;8;2204;845;RS;4315305;624;389
2001;7;2204;586;MS;5206606;103274;34123
2001;2;2204;586;PR;4123808;496;438
2001;2;2204;845;RS;4315305;84;62
2001;2;2204;271;RS;4302105;5832;11534
2001;5;2204;586;SP;3450308;1798;2800
2001;4;2204;586;PR;4108304;240763;107486
2001;6;2204;586;MS;5206606;75244;36929
2001;6;2204;586;PR;4108304;292818;127716
2001;11;2204;586;PR;4123808;288;258
2001;12;2204;586;SP;3450308;2697;4200
2001;4;2204;586;MS;5206606;59312;31229
2001;11;2204;586;MS;5206606;279107;117627
2001;9;2204;399;RS;4302105;60000;29400
2001;12;2204;97;MS;5206606;11058;4629
2001;11;2204;528;SP;3446801;359;483
2001;1;2204;845;RS;4315305;215;161
2001;10;2204;845;RS;4315305;600;358
2001;3;2204;249;SP;3418800;5661;42225
2001;11;2204;249;SP;3418800;352;832
2001;10;2204;399;SP;3450308;23770;8449
2002;12;2204;528;SP;3446801;523;180
2002;7;2204;586;MS;5206606;78051;27703
2002;1;2204;586;PR;4108304;419891;196798
2002;11;2204;586;MS;5206606;189725;60200
2002;9;2204;586;MS;5206606;65146;22025
