Year;Month;Country;"US$ FOB";"Net Weight"
2023;06;Paraguay;917728;614615
2023;05;Paraguay;729345;495937
2023;04;Paraguay;685335;428058
2023;07;Paraguay;640784;430523
2023;03;Paraguay;366292;233708
2023;02;Paraguay;308649;213853
2023;03;Uruguay;175801;138259
2023;01;Paraguay;104724;77805
2023;07;Haiti;104300;64716
2023;01;Uruguay;98315;83160
2023;02;Uruguay;98315;83160
2023;03;Haiti;93065;63381
2023;04;Haiti;87704;55687
2023;04;Venezuela;81432;52920
2023;07;China;76489;39359
2023;04;"United States";63101;32616
2023;03;Venezuela;51825;35280
2023;05;Haiti;51344;35118
2023;07;"United States";45392;23592
2023;06;Guyana;40283;16701
2023;02;Canada;37196;10863
2023;01;Haiti;37095;26511
2023;03;"United States";35708;20184
2023;01;"United Kingdom";31930;3642
2023;01;Venezuela;30023;17550
2023;05;"Democratic Republic of the Congo";26600;17100
2023;01;China;25512;12272
2023;02;Haiti;25328;17055
2023;02;Togo;25235;14550
2023;05;Peru;24420;16650
2023;07;"United Kingdom";22071;2675
2023;04;Italy;21655;1696
2023;07;Japan;21355;10418
2023;07;Peru;21332;12240
2023;01;Panama;19860;3728
2023;03;Argentina;19571;2556
2023;04;Ghana;18817;3356
2023;06;Bolivia;17438;9836
2023;03;Switzerland;17246;1502
2023;04;Denmark;14739;1689
2023;03;Bolivia;12305;8310
2023;05;"United States";12116;8909
2023;07;"Sierra Leone";12020;6690
2023;04;"Sierra Leone";11938;7043
2023;03;"United Kingdom";11516;823
2023;06;"Hong Kong";11433;3299
2023;04;"Hong Kong";11300;1832
2023;05;Switzerland;11080;858
2023;04;Uruguay;10679;767
2023;04;Argentina;10249;1080
2023;07;Curaçao;10140;7020
2023;01;Malta;10040;954
2023;02;Germany;9971;1380
2023;02;Panama;9831;1969
2023;06;Uruguay;6828;1188
2023;05;Germany;6145;1233
2023;06;Curaçao;5631;968
2023;01;Portugal;5599;382
2023;01;Argentina;5400;873
2023;01;Canada;4979;675
2023;07;Uruguay;4433;1956
2023;03;Germany;4284;367
2023;07;"Marshall Islands";4134;583
2023;05;France;4130;927
2023;05;"Marshall Islands";4002;866
2023;07;"Hong Kong";3952;661
2023;03;Curaçao;3869;2765
2023;05;"Hong Kong";3510;638
2023;03;Panama;3469;523
2023;01;"Hong Kong";3438;621
2023;04;China;3382;2761
2023;02;Netherlands;3000;1385
2023;03;"United Arab Emirates";2860;585
2023;02;"Hong Kong";2767;768
2023;02;Liberia;2686;1049
2023;05;Panama;2562;706
2023;03;"Hong Kong";2486;443
2023;03;Singapore;2481;244
2023;04;Liberia;2471;588
2023;05;Ghana;2423;1530
2023;05;Malta;2335;451
2023;04;Spain;2322;128
2023;06;Singapore;2295;451
2023;03;Italy;2280;450
2023;01;Liberia;2251;734
2023;06;"Marshall Islands";2186;496
2023;04;Panama;2178;600
2023;07;Panama;2120;468
2023;03;China;2081;219
2023;06;Haiti;1944;918
2023;06;Panama;1884;525
2023;02;Spain;1773;36
2023;05;Singapore;1720;451
2023;01;"Marshall Islands";1706;469
2023;05;China;1688;875
2023;03;"Cayman Islands";1683;259
2023;01;Singapore;1672;270
2023;06;Liberia;1656;388
2023;02;"United Arab Emirates";1652;338
2023;01;Netherlands;1636;714
2023;07;Liberia;1581;291
2023;02;China;1547;286
2023;05;Liberia;1542;314
2023;02;"Marshall Islands";1534;379
2023;03;"Marshall Islands";1481;294
2023;04;"Marshall Islands";1457;310
2023;02;"United Kingdom";1299;396
2023;03;Liberia;1272;408
2023;05;Colombia;1259;450
2023;06;"United States";1115;364
2023;07;Singapore;1115;207
2023;01;"United Arab Emirates";1101;225
2023;03;Malta;970;199
2023;06;"Isle of Man";923;138
2023;02;Argentina;913;36
2023;02;Singapore;909;303
2023;03;Ecuador;840;540
2023;05;Australia;807;540
2023;06;China;741;134
2023;04;Germany;716;94
2023;07;Malta;679;171
2023;05;"United Kingdom";654;132
2023;04;Malta;620;127
2023;01;Greece;572;407
2023;02;"Antigua and Barbuda";566;180
2023;01;Cyprus;551;81
2023;06;Bahrein;545;86
2023;01;"South Africa";534;105
2023;05;Japan;524;292
2023;01;"Antigua and Barbuda";523;113
2023;04;Bahamas;506;94
2023;04;Cyprus;502;99
2023;05;Bahamas;476;329
2023;02;Poland;450;162
2023;01;Norway;423;83
2023;04;"United Kingdom";400;111
2023;03;Denmark;393;16
2023;07;Greece;385;151
2023;02;Ireland;377;150
2023;05;Norway;373;111
2023;06;Norway;361;71
2023;03;Belgium;361;38
2023;04;Singapore;352;90
2023;06;Malta;333;84
2023;02;Malta;318;82
2023;01;Thailand;316;53
2023;06;Bahamas;294;117
2023;04;Greece;284;46
2023;03;Bahamas;284;31
2023;02;Guyana;280;96
2023;06;Thailand;272;18
2023;02;Greece;265;124
2023;04;"Cayman Islands";251;66
2023;03;Greece;232;43
2023;02;Japan;230;64
2023;05;Greece;210;142
2023;06;"United Kingdom";207;33
2023;01;Switzerland;199;88
2023;02;Bahamas;198;42
2023;02;France;190;25
2023;02;Norway;188;55
2023;03;Bahrein;188;32
2023;03;"Isle of Man";184;26
2023;05;Taiwan;179;40
2023;04;Thailand;178;30
2023;05;"Antigua and Barbuda";177;26
2023;06;Turkey;172;78
2023;03;Portugal;156;30
2023;04;Norway;153;110
2023;07;Cyprus;152;37
2023;06;Portugal;150;37
2023;06;Cyprus;143;31
2023;03;Poland;140;136
2023;01;Bahamas;139;43
2023;06;"Saint Vicent and the Granadines";139;39
2023;07;Bahrein;134;40
2023;06;Japan;129;27
2023;06;Switzerland;120;38
2023;01;Barbados;120;35
2023;01;Japan;116;43
2023;05;Thailand;105;5
2023;04;France;101;18
2023;05;Portugal;98;14
2023;06;Belgium;95;19
2023;02;Portugal;80;17
2023;07;Portugal;73;171
2023;01;Denmark;73;15
2023;02;Cyprus;71;16
2023;04;Philippines;67;27
2023;01;France;67;18
2023;06;"Saudi Arabia";64;98
2023;01;Chile;63;9
2023;04;Portugal;60;20
2023;01;Palau;60;15
2023;06;Italy;60;15
2023;01;Belgium;59;17
2023;07;"United Arab Emirates";49;44
2023;04;Barbados;44;12
2023;02;Palau;44;8
2023;03;Japan;43;20
2023;05;Cyprus;42;6
2023;02;Belgium;37;9
2023;05;Italy;36;9
2023;07;"South Korea";35;2
2023;05;Philippines;34;9
2023;03;Norway;34;9
2023;05;"Cayman Islands";34;7
2023;01;Philippines;33;19
2023;02;"Saint Christopher and Nevis";31;16
2023;01;Martinique;31;9
2023;07;Indonesia;30;9
2023;02;Bahrein;30;8
2023;01;"Saudi Arabia";29;10
2023;06;Greece;26;24
2023;03;Netherlands;23;19
2023;04;"Antigua and Barbuda";22;4
2023;06;"Cayman Islands";21;8
2023;03;Cyprus;21;6
2023;06;Mexico;19;3
2023;01;Taiwan;18;1
2023;05;Turkey;16;5
2023;05;Barbados;16;5
2023;07;Tokelau;10;3
2023;07;Turkey;10;2
2023;06;Germany;9;8
2023;03;Latvia;8;8
2023;06;India;7;3
2023;01;"United States";7;2
2023;05;Canada;4;1
2022;07;Paraguay;1120408;813355
2022;05;Paraguay;1007287;717491
2022;08;Paraguay;825225;558186
2022;06;Paraguay;770775;526776
2022;04;Paraguay;696924;511310
2022;12;Paraguay;538950;381911
2022;11;Paraguay;504968;352520
2022;10;Paraguay;493628;348130
2022;09;Paraguay;438856;297727
2022;10;Uruguay;389331;294157
2022;02;Paraguay;315290;229263
2022;01;Paraguay;311727;247811
2022;04;Haiti;170026;127908
2022;08;Uruguay;159399;111447
2022;09;Haiti;138320;95760
2022;03;Paraguay;132255;92190
2022;09;Uruguay;127547;116424
2022;05;"United States";121960;62898
2022;12;Uruguay;116540;17576
2022;02;Haiti;115176;88853
2022;05;Russia;111845;65025
2022;05;Uruguay;90340;10416
2022;12;China;82566;19073
2022;09;"United Arab Emirates";79293;3420
2022;03;Haiti;77370;59289
2022;07;Haiti;74100;51300
2022;01;Haiti;70433;55599
2022;05;China;66390;5971
2022;08;China;65166;28591
2022;06;Haiti;58486;50402
2022;09;"United States";57787;22150
2022;06;Uruguay;54426;49680
2022;04;Nigeria;49256;31500
2022;02;China;46732;5776
2022;10;"United States";46454;24298
2022;08;Japan;40135;14233
2022;01;Uruguay;38011;34209
2022;08;Haiti;37103;24392
2022;11;Norway;36466;1700
2022;10;China;35620;9708
2022;03;"United States";31566;20520
2022;01;China;30897;7279
2022;02;"United States";30620;18578
2022;09;China;26492;12564
2022;07;"United Kingdom";25647;2554
2022;11;Venezuela;25625;17550
2022;12;Togo;25519;17280
2022;03;China;25186;6608
2022;06;"United Kingdom";24408;3084
2022;05;Ghana;23589;17100
2022;12;"United States";23152;6505
2022;07;Japan;21810;11095
2022;07;Uruguay;21773;3208
2022;11;"United Kingdom";20664;2545
2022;01;Curaçao;20642;15165
2022;04;Switzerland;20340;1485
2022;06;"United States";19897;4570
2022;07;China;19217;8170
2022;07;"United States";18928;3662
2022;11;Ghana;18768;12629
2022;04;Japan;17726;11005
