Year;Country;"US$ FOB";"Net Weight"
2023;Paraguay;3752857;2494499
2023;Haiti;400780;263386
2023;Uruguay;394371;308490
2023;Venezuela;163280;105750
2023;"United States";157439;85667
2023;China;111440;55906
2023;"United Kingdom";68077;7812
2023;Peru;45752;28890
2023;Canada;42179;11539
2023;Panama;41904;8519
2023;Guyana;40563;16797
2023;"Hong Kong";38886;8262
2023;Argentina;36133;4545
2023;Bolivia;29743;18146
2023;Switzerland;28645;2486
2023;"Democratic Republic of the Congo";26600;17100
2023;Togo;25235;14550
2023;Italy;24031;2170
2023;"Sierra Leone";23958;13733
2023;Japan;22397;10864
2023;Ghana;21240;4886
2023;Germany;21125;3082
2023;Curaçao;19640;10753
2023;"Marshall Islands";16500;3397
2023;Malta;15295;2068
2023;Denmark;15205;1720
2023;Liberia;13459;3772
2023;Singapore;10544;2016
2023;Portugal;6216;671
2023;"United Arab Emirates";5662;1192
2023;Netherlands;4659;2118
2023;France;4488;988
2023;Spain;4095;164
2023;"Cayman Islands";1989;340
2023;Greece;1974;937
2023;Bahamas;1897;656
2023;Norway;1532;439
2023;Cyprus;1482;276
2023;"Antigua and Barbuda";1288;323
2023;Colombia;1259;450
2023;"Isle of Man";1107;164
2023;Bahrein;897;166
2023;Thailand;871;106
2023;Ecuador;840;540
2023;Australia;807;540
2023;Poland;590;298
2023;Belgium;552;83
2023;"South Africa";534;105
2023;Ireland;377;150
2023;Turkey;198;85
2023;Taiwan;197;41
2023;Barbados;180;52
2023;"Saint Vicent and the Granadines";139;39
2023;Philippines;134;55
2023;Palau;104;23
2023;"Saudi Arabia";93;108
2023;Chile;63;9
2023;"South Korea";35;2
2023;"Saint Christopher and Nevis";31;16
2023;Martinique;31;9
2023;Indonesia;30;9
2023;Mexico;19;3
2023;Tokelau;10;3
2023;Latvia;8;8
2023;India;7;3
2022;Paraguay;7156293;5076670
2022;Uruguay;997367;637117
2022;Haiti;741014;553503
2022;China;401399;104323
2022;"United States";381754;179894
2022;"United Kingdom";135676;18196
2022;Russia;118618;66046
2022;"United Arab Emirates";85429;4770
2022;Japan;80154;36539
2022;Curaçao;66950;40673
2022;Nigeria;50283;32234
2022;Ghana;49304;35949
2022;Bolivia;49011;32530
2022;Germany;45367;7630
2022;Panama;41412;8659
2022;Norway;40199;2643
2022;Netherlands;37162;7006
2022;Venezuela;32351;23220
2022;"Hong Kong";31895;7433
2022;Liberia;29286;7059
2022;Togo;25608;17317
2022;France;25008;5694
2022;"Marshall Islands";23165;5753
2022;Switzerland;20863;1584
2022;"Sierra Leone";15182;8101
2022;Malta;14784;2963
2022;Colombia;14068;8217
2022;Singapore;13838;3980
2022;Australia;12299;1424
2022;"Czech Republic";8680;1215
2022;Chile;7986;2094
2022;Grenada;7914;5610
2022;Portugal;7449;1877
2022;Italy;6151;1129
2022;Belgium;6145;828
2022;Guyana;5823;2064
2022;Canada;5751;1179
2022;Bahamas;5366;1019
2022;Guatemala;5350;1283
2022;Angola;4761;4068
2022;Suriname;3360;1225
2022;Cyprus;3233;1231
2022;Argentina;3232;480
2022;Bahrein;2516;603
2022;Greece;2246;873
2022;"Dominica Island";2223;1485
2022;Kenya;2080;1440
2022;"Antigua and Barbuda";1860;417
2022;Thailand;1144;214
2022;"Cayman Islands";958;160
2022;Brazil;952;2504
2022;Barbados;841;178
2022;Luxembourg;802;36
2022;India;593;69
2022;Turkey;503;418
2022;Croatia;484;34
2022;Taiwan;277;25
2022;"Isle of Man";268;80
2022;Austria;212;6
2022;Ecuador;210;135
2022;Philippines;183;91
2022;"New Zealand";156;63
2022;"South Korea";146;25
2022;Vietnam;126;26
2022;Iran;90;47
2022;Bangladesh;84;7
2022;"Cocos (Keeling) Islands";60;26
2022;"Saint Vicent and the Granadines";51;20
2022;Mexico;33;6
2022;Bulgaria;31;5
2022;"French Guyana";18;22
2022;Sweden;18;5
2022;Cuba;6;16
2022;Denmark;6;2
2021;Paraguay;7181667;6514747
2021;Haiti;831181;670379
2021;Russia;312926;181931
2021;China;261127;60370
2021;"United States";195691;106984
2021;Uruguay;149842;136774
2021;"United Kingdom";120813;24457
2021;Nigeria;113172;68247
2021;Japan;88216;38511
2021;Curaçao;58993;32263
2021;Panama;44477;27424
2021;Portugal;42348;6284
2021;"Hong Kong";36758;11081
2021;Venezuela;35944;26415
2021;Guatemala;29100;17347
2021;France;23742;7052
2021;Colombia;21867;12160
2021;Liberia;20753;6792
2021;"Marshall Islands";19938;6968
2021;Ghana;19196;12578
2021;Peru;17107;9720
2021;Malta;14362;3169
2021;"Sierra Leone";12955;6525
2021;Singapore;12553;3530
2021;"United Arab Emirates";10522;810
2021;"New Zealand";10477;657
2021;Philippines;10075;2595
2021;"New Caledonia";9849;6285
2021;Bolivia;8360;5850
2021;Netherlands;8265;3416
2021;Taiwan;8153;1313
2021;Norway;8130;1823
2021;Switzerland;6967;609
2021;Germany;6180;2473
2021;Canada;5996;1080
2021;"Czech Republic";5988;456
2021;Guyana;5673;2164
2021;Bahamas;4044;859
2021;Australia;4034;705
2021;Belgium;3749;483
2021;Italy;3715;696
2021;Cyprus;3215;1425
2021;Greece;2742;700
2021;Togo;2012;1890
2021;"Antigua and Barbuda";1558;462
2021;Suriname;1472;900
2021;Thailand;1407;300
2021;Bahrein;894;302
2021;Barbados;757;206
2021;"Dominica Island";634;460
2021;Hungary;583;87
2021;"Isle of Man";445;97
2021;"Cayman Islands";356;104
2021;Iran;287;116
2021;Denmark;254;71
2021;Ireland;208;36
2021;"Cape Verde";124;16
2021;Mauritania;85;9
2021;Sweden;74;23
2021;Montenegro;65;14
2021;Turkey;55;118
2021;"South Korea";50;20
2021;"Saint Vicent and the Granadines";48;8
2021;Brazil;46;31
2021;Afghanistan;46;11
2021;"French Guyana";32;90
2021;Swaziland;24;10
2021;Bangladesh;20;2
2021;Argentina;13;6
2021;India;9;2
2021;Chile;6;26
2021;Mexico;2;9
2021;Qatar;2;1
2020;Paraguay;3868483;3298667
2020;"United States";493164;231292
2020;Haiti;471153;399128
2020;China;360748;121603
2020;Japan;90746;34936
2020;"United Kingdom";78996;18928
2020;Curaçao;65987;47965
2020;France;57145;12621
2020;"Hong Kong";38739;13722
2020;Portugal;34283;8003
2020;Germany;31942;5909
2020;Switzerland;27908;2822
2020;Nigeria;26514;12095
2020;Panama;25511;9319
2020;Colombia;23780;15660
2020;Ghana;22027;18810
2020;Belgium;20404;3153
2020;"Marshall Islands";18249;5108
2020;Guatemala;18094;6863
2020;Liberia;16033;4732
2020;Bolivia;16025;9900
2020;Norway;15002;1753
2020;"Sierra Leone";13051;9240
2020;Venezuela;9808;4086
2020;Malta;8615;3109
2020;Russia;8550;1463
2020;Canada;8431;1672
2020;Singapore;7831;3117
2020;Suriname;5277;4185
2020;Luxembourg;5110;1086
2020;"Czech Republic";4805;564
2020;Taiwan;4671;967
2020;Argentina;4176;1016
2020;Ecuador;3824;3780
2020;Cyprus;3553;1043
2020;Australia;3413;1013
2020;Bahamas;3324;979
2020;Guyana;2578;990
2020;Greece;2424;544
2020;"United Arab Emirates";2280;581
2020;Denmark;1957;658
2020;"Antigua and Barbuda";1725;598
2020;Philippines;1368;646
2020;Netherlands;1301;193
2020;Thailand;1071;195
2020;Vietnam;583;87
2020;"New Zealand";515;95
2020;Italy;377;91
2020;"Cayman Islands";338;123
2020;"South Korea";316;66
2020;Ireland;258;30
2020;Mexico;226;26
2020;Cameroon;178;0
2020;Barbados;155;139
2020;Spain;127;28
2020;Croatia;122;20
2020;"Isle of Man";112;5
2020;"Bosnia and Herzegovina";52;45
2020;Jordan;52;12
2020;Poland;48;17
2020;Vanuatu;31;18
2020;Bangladesh;30;4
2020;Iran;29;18
2020;Bahrein;28;8
2020;Comoros;25;9
2020;Sweden;24;6
2020;Montenegro;20;10
2020;Chile;13;11
2020;India;10;7
2020;Tuvalu;4;2
2019;Paraguay;4008721;2531478
