"CO_PAIS";"CO_BLOCO";"NO_BLOCO";"NO_BLOCO_ING";"NO_BLOCO_ESP"
"788";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"525";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"229";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"281";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"438";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"458";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"127";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"285";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"731";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"748";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"754";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"759";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"820";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"031";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"040";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"115";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"173";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"240";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"253";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"434";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"488";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"710";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"735";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"485";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"685";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"760";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"800";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"890";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"059";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"101";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"243";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"331";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"334";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"426";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"464";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
