CO_PAIS;CO_PAIS_ISON3;CO_PAIS_ISOA3;NO_PAIS;NO_PAIS_ING;NO_PAIS_ESP;CO_BLOCO;NO_BLOCO;NO_BLOCO_ING;NO_BLOCO_ESP
15;248;ALA;Aland, Ilhas;Aland Islands;Alans, Islas;22;União Europeia - UE;European Union (EU);Uniao Europea (UE)
23;276;DEU;Alemanha;Germany;Alemania;22;União Europeia - UE;European Union (EU);Uniao Europea (UE)
63;32;ARG;Argentina;Argentina;Argentina;111;Mercado Comum do Sul - Mercosul;Southern Common Market (MERCOSUL);Mercado Comum del Sur (MERCOSUR)
72;40;AUT;Áustria;Austria;Austria;22;União Europeia - UE;European Union (EU);Uniao Europea (UE)
87;56;BEL;Bélgica;Belgium;Bélgica;22;União Europeia - UE;European Union (EU);Uniao Europea (UE)
93;104;MMR;Mianmar;Myanmar;Myanmar;53;Associação de Nações do Sudeste Asiático - ASEAN;Association Of Southeast Asian Nations (ASEAN);Asociación de Países del Sudeste Asiático (ASEAN)
100;898;BRA;Internação na Zona Franca de Manaus;Internment in the Manaus Free Trade Zone;Internamiento de la Zona Franca de Manaus;111;Mercado Comum do Sul - Mercosul;Southern Common Market (MERCOSUL);Mercado Comum del Sur (MERCOSUR)
105;76;BRA;Brasil;Brazil;Brasil;111;Mercado Comum do Sul - Mercosul;Southern Common Market (MERCOSUL);Mercado Comum del Sur (MERCOSUR)
108;96;BRN;Brunei;Brunei;Brunei;53;Associação de Nações do Sudeste Asiático - ASEAN;Association Of Southeast Asian Nations (ASEAN);Asociación de Países del Sudeste Asiático (ASEAN)
111;100;BGR;Bulgária;Bulgaria;Bulgaria;22;União Europeia - UE;European Union (EU);Uniao Europea (UE)
141;116;KHM;Camboja;Cambodia;Camboya;53;Associação de Nações do Sudeste Asiático - ASEAN;Association Of Southeast Asian Nations (ASEAN);Asociación de Países del Sudeste Asiático (ASEAN)
150;831;GGY;Canal, Ilhas do (Guernsey);Guernsey;Guernsey;22;União Europeia - UE;European Union (EU);Uniao Europea (UE)
