CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,CO_SH
2005,9,22042900,17,399,RS,1,1010500,48085,48085,15389,2204
2005,1,22042100,17,249,RS,0,817600,405,405,1449,2204
2005,12,22042900,17,586,PR,9,145300,9419,9419,5613,2204
2005,6,22042900,17,97,ZN,4,145200,7590,7590,3000,2204
2005,2,22041090,17,249,RS,1,1010500,8066,14551,31397,2204
2005,9,22042100,17,586,RS,7,910600,84420,84420,26368,2204
2005,9,22042100,17,40,SP,1,817800,3829,3829,11845,2204
2005,6,22042100,17,40,SP,1,817800,9598,9598,9177,2204
2005,10,22043000,17,337,SP,1,817800,956,1481,1212,2204
2005,9,22042100,17,586,SP,7,145300,14604,12883,8113,2204
2005,9,22043000,17,586,PR,9,910651,1179,9289,4446,2204
2005,7,22042900,17,161,ZN,4,817600,500,925,4840,2204
2005,10,22042100,17,97,ZN,4,250151,1409,14755,12154,2204
2005,5,22042900,17,249,RS,1,1010500,225,2070,1969,2204
2005,7,22043000,17,169,RS,2,220152,689,6695,8267,2204
2005,4,22042100,17,271,RS,1,1010500,5445,5445,10769,2204
2005,5,22042900,17,97,ZN,4,145200,8447,8447,3736,2204
2005,5,22042100,17,232,RS,1,1010500,4172,4172,11905,2204
2005,4,22042100,17,586,SC,7,145300,200,2080,1616,2204
2005,11,22041090,17,249,RS,1,1010500,900,900,5040,2204
2005,3,22042900,17,399,RS,1,1010500,55163,55163,21011,2204
2005,12,22041010,17,97,SP,7,230151,17200,17200,7643,2204
2005,12,22042900,17,586,SC,7,145300,26088,26088,16569,2204
2005,6,22041010,17,23,ZN,4,817600,27,48,185,2204
2005,12,22043000,17,586,PR,9,910651,1919,21669,11690,2204
2005,2,22042100,17,628,RS,4,817600,252,252,2856,2204
2005,8,22043000,17,586,PR,9,910651,752,5674,2703,2204
2005,10,22041010,17,345,SP,1,817800,576,1356,3456,2204
2005,11,22041090,17,40,ND,1,717600,80,368,218,2204
2005,6,22042100,17,271,RS,1,1010500,5445,5445,10769,2204
2005,5,22041010,17,63,ZN,4,1017600,39,50,273,2204
2005,6,22043000,17,750,RS,1,1010500,475,475,660,2204
2005,4,22041010,17,23,RS,1,1010500,50,225,813,2204
2005,6,22042100,17,69,ZN,4,1010500,1,9,98,2204
2005,5,22042100,17,63,ZN,4,1017600,48,93,336,2204
2005,11,22042100,17,386,RS,1,817800,230,1035,3449,2204
2005,7,22042100,17,275,RS,1,817800,4680,4380,28664,2204
2005,6,22041010,17,791,ZN,4,817600,72,102,441,2204
2005,12,22042100,17,97,ZN,4,250151,927,9815,8084,2204
2005,4,22042900,17,232,RS,1,1010500,25000,25000,17500,2204
2005,7,22042100,17,586,PR,7,145300,1370,24490,10960,2204
2005,9,22042100,17,249,RS,1,1010500,2636,11800,40250,2204
2005,8,22041010,17,337,ZN,4,260100,76,592,1354,2204
2005,6,22043000,17,580,SP,1,817800,8140,8140,3850,2204
2005,12,22042900,17,97,ZN,4,145200,86072,86072,34860,2204
2005,12,22042100,17,628,ZN,4,817600,16,72,1220,2204
2005,11,22041010,17,337,ZN,4,260100,20,160,305,2204
2005,1,22042100,17,87,ZN,4,817600,66,105,388,2204
2005,4,22042100,17,97,ZN,4,250151,13,145,88,2204
2005,3,22042100,17,791,ZN,4,817600,27,27,74,2204
2005,8,22042100,17,399,RS,1,1010500,1580,1580,6761,2204
2005,3,22041010,17,337,ZN,4,260100,90,260,423,2204
2005,12,22042100,17,586,SC,9,145300,475,475,413,2204
2005,11,22043000,17,528,RS,1,817800,100,793,800,2204
2005,10,22042100,17,63,ZN,4,817600,114,173,838,2204
2005,11,22042100,17,87,ZN,4,817700,5,5,6,2204
2005,2,22042100,17,337,ZN,4,260100,638,4159,3318,2204
2005,11,22042100,17,337,ZN,4,260100,2655,9720,13101,2204
2005,9,22042100,17,337,ZN,4,260100,3182,19748,13854,2204
2005,7,22042100,17,676,RS,1,1010500,40800,40800,15994,2204
2005,11,22042100,17,97,ZN,4,250151,273,3390,2623,2204
2005,12,22042900,17,586,PR,7,145300,33874,39199,25434,2204
2005,11,22042100,17,249,SP,1,817800,18084,18084,22024,2204
2005,7,22042100,17,97,ZN,4,250151,5,34,80,2204
2005,2,22042100,17,97,SP,7,130151,480,7680,3934,2204
2005,4,22042900,17,275,PE,1,517600,11340,20000,48862,2204
2005,4,22042900,17,249,RS,1,1010500,600,5520,5250,2204
2005,4,22041090,17,289,PR,4,817600,54,77,1253,2204
2005,12,22042100,17,249,RS,1,1010500,10080,10080,14000,2204
2005,12,22041090,17,249,RS,0,817600,1427,1427,7302,2204
2005,2,22041010,17,628,RS,4,817600,158,158,2888,2204
2005,5,22042100,17,586,SC,7,145300,12420,14220,9425,2204
2005,12,22041010,17,586,RS,7,910600,4173,4173,7069,2204
2005,11,22042100,17,586,SP,7,145300,12912,12912,8738,2204
2005,10,22041010,17,399,RS,1,1010500,1080,1080,4296,2204
2005,7,22043000,17,586,PR,9,910651,1057,7564,3606,2204
2005,3,22042100,17,791,RS,1,1010500,320,1432,6587,2204
2005,7,22041010,17,586,RS,7,910600,10120,10120,3785,2204
2005,11,22042900,17,23,ZN,4,1010500,96,500,854,2204
2005,3,22042100,17,97,ZN,4,250151,177,1790,1012,2204
2005,11,22042100,17,586,SC,7,145300,350,3630,3341,2204
2005,2,22041010,17,623,RS,1,1010500,900,900,10574,2204
2005,2,22042100,17,289,ZN,4,817700,6,30,12,2204
2005,2,22042100,17,97,ZN,4,250151,275,2830,1672,2204
2005,5,22042100,17,586,RS,7,910600,103236,139200,41990,2204
2005,8,22041090,17,249,RS,0,817600,170,170,894,2204
2005,8,22042900,17,97,ZN,4,145200,20880,20880,9563,2204
2005,5,22042900,17,399,RS,1,1010500,1200,1200,1059,2204
2005,11,22042100,17,23,ZN,4,1010500,1420,1015,5091,2204
2005,1,22043000,17,586,PR,9,910651,408,4971,2070,2204
2005,6,22041010,17,337,ZN,4,260100,10,60,111,2204
2005,11,22043000,17,40,SP,1,817800,20,20,115,2204
2005,10,22041010,17,586,RS,7,910600,15840,15840,18509,2204
2005,11,22042100,17,445,ZN,4,817700,5,5,6,2204
2005,1,22041010,17,337,ZN,4,260100,25,55,108,2204
2005,1,22042100,17,249,SP,1,817800,8064,7164,9259,2204
2005,7,22041010,17,169,RS,2,220152,10,300,82,2204
2005,4,22041090,17,628,SP,1,817800,20,20,333,2204
2005,10,22042100,17,676,RS,1,1010500,40800,40800,15994,2204
2005,7,22042900,17,63,ZN,4,1017600,11,5,8,2204
2005,7,22042100,17,249,RS,1,1010500,1650,13163,22302,2204
2005,4,22042100,17,791,RS,1,1010500,2325,3274,12200,2204
2005,7,22042100,17,586,SC,7,145300,1945,3335,2774,2204
2005,1,22042900,17,23,PE,1,417800,1000,16080,21960,2204
2005,6,22042900,17,249,PE,1,417800,18900,33642,48000,2204
2005,11,22042100,17,275,ZN,4,817600,110,174,769,2204
2005,4,22042100,17,445,RS,1,1010500,4860,4860,21011,2204
2005,12,22042100,17,791,BA,1,517600,24000,24000,18720,2204
2005,5,22042100,17,337,ZN,4,260100,2349,8816,10039,2204
2005,8,22042100,17,337,ZN,4,260100,190,1500,1127,2204
2005,5,22042100,17,275,BA,1,517600,5713,25709,59246,2204
2005,5,22042100,17,767,ZN,4,1010500,54,62,134,2204
2005,6,22042100,17,275,BA,1,517600,2392,10764,23779,2204
2005,4,22042100,17,337,ZN,4,260100,2713,17925,13218,2204
2005,9,22042100,17,586,SC,7,145300,100,960,925,2204
2005,3,22042100,17,275,BA,1,517600,3585,15896,37652,2204
2005,9,22042100,17,249,SP,1,817800,9042,9042,11592,2204
2005,1,22042900,17,249,SP,1,817800,2214,7164,9259,2204
2005,3,22042900,17,586,PR,7,145300,10580,10580,4843,2204
2005,12,22041010,17,337,ZN,4,260100,51,207,614,2204
2005,10,22042100,17,63,ZN,4,1010900,238,267,119,2204
2005,1,22042100,17,586,RS,7,910600,17400,17400,6260,2204
2005,6,22042100,17,249,RS,1,1010500,1680,15120,18480,2204
2005,9,22042100,17,149,ZN,4,817600,14,37,48,2204
2005,12,22042100,17,87,RS,1,1010500,6750,6750,28743,2204
2005,4,22042900,17,586,PR,7,145300,1900,8700,5410,2204
2005,7,22041010,17,337,ZN,4,260100,13,220,246,2204
2005,10,22041010,17,63,ZN,4,817600,45,68,331,2204
2005,2,22042100,17,386,ZN,4,817600,81,124,576,2204
2005,5,22042100,17,249,RS,1,1010500,1878,16767,34708,2204
2005,11,22042100,17,249,RS,1,1010500,4247,21676,37315,2204
2005,5,22042100,17,97,ZN,4,250151,11,120,121,2204
2005,6,22042100,17,275,ZN,4,817700,20,42,49,2204
2005,6,22042100,17,791,ZN,4,817600,131,181,799,2204
2005,11,22042100,17,647,SC,4,817600,50,50,1188,2204
2005,10,22042900,17,399,RS,1,1010500,28965,28965,11160,2204
2005,4,22042900,17,815,RS,1,1010500,4,35,30,2204
2005,10,22042100,17,40,RJ,1,717600,60,332,1942,2204
2005,4,22041010,17,275,RS,1,817800,11,50,475,2204
2005,11,22042900,17,399,RS,1,1010500,96331,96331,47203,2204
2005,9,22042100,17,528,RS,1,1010500,250,2025,2600,2204
