CO_PAIS;CO_PAIS_ISON3;CO_PAIS_ISOA3;NO_PAIS;NO_PAIS_ING;NO_PAIS_ESP;CO_BLOCO;NO_BLOCO;NO_BLOCO_ING;NO_BLOCO_ESP
13;4;AFG;Afeganistão;Afghanistan;Afganistan;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
15;248;ALA;Aland, Ilhas;Aland Islands;Alans, Islas;112;Europa;Europe;Europa
17;8;ALB;Albânia;Albania;Albania;112;Europa;Europe;Europa
20;724;ESP;Alboran-Perejil, Ilhas;Alboran-Perejil, Islands;Alboran-Perejil, Islas;112;Europa;Europe;Europa
23;276;DEU;Alemanha;Germany;Alemania;112;Europa;Europe;Europa
25;278;DEU;Alemanha Oriental;East Germany;Alemania del Este;112;Europa;Europe;Europa
31;854;BFA;Burkina Faso;Burkina Faso;Burkina Faso;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
37;20;AND;Andorra;Andorra;Andorra;112;Europa;Europe;Europa
40;24;AGO;Angola;Angola;Angola;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
41;660;AIA;Anguilla;Anguilla;Anguilla;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
43;28;ATG;Antígua e Barbuda;Antigua and Barbuda;Antigua y Barbuda;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
47;530;ANT;Antilhas Holandesas;Netherlands Antilles;Antillas Holandesas;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
53;682;SAU;Arábia Saudita;Saudi Arabia;Arabia Saudita;41;Oriente Médio;Middle East;Oriente Medio
59;12;DZA;Argélia;Algeria;Argelia;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
63;32;ARG;Argentina;Argentina;Argentina;48;América do Sul;South America;América del Sur
64;51;ARM;Armênia;Armenia;Armenia;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
65;533;ABW;Aruba;Aruba;Aruba;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
69;36;AUS;Austrália;Australia;Australia;61;Oceania;Oceania;Oceania
72;40;AUT;Áustria;Austria;Austria;112;Europa;Europe;Europa
73;31;AZE;Azerbaijão;Azerbaijan;Acerbaiyan;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
77;44;BHS;Bahamas;Bahamas;Bahamas;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
80;48;BHR;Barein;Bahrein;Bahrein;41;Oriente Médio;Middle East;Oriente Medio
81;50;BGD;Bangladesh;Bangladesh;Bangladesh;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
83;52;BRB;Barbados;Barbados;Barbados;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
85;112;BLR;Belarus;Belarus;Belarús;112;Europa;Europe;Europa
87;56;BEL;Bélgica;Belgium;Bélgica;112;Europa;Europe;Europa
88;84;BLZ;Belize;Belize;Belice;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
90;60;BMU;Bermudas;Bermuda;Bermuda;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
93;104;MMR;Mianmar;Myanmar;Myanmar;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
97;68;BOL;Bolívia;Bolivia;Bolivia;48;América do Sul;South America;América del Sur
98;70;BIH;Bósnia-Herzegovina;Bosnia and Herzegovina;Bosnia y Herzegovina;112;Europa;Europe;Europa
99;535;BES;Bonaire, Saint Eustatius e Saba;Bonaire, Saint Eustatius and Saba;Bonaire, Saint Eustatius y Saba;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
100;898;BRA;Internação na Zona Franca de Manaus;Internment in the Manaus Free Trade Zone;Internamiento de la Zona Franca de Manaus;48;América do Sul;South America;América del Sur
101;72;BWA;Botsuana;Botswana;Botswana;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
105;76;BRA;Brasil;Brazil;Brasil;48;América do Sul;South America;América del Sur
108;96;BRN;Brunei;Brunei;Brunei;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
111;100;BGR;Bulgária;Bulgaria;Bulgaria;112;Europa;Europe;Europa
115;108;BDI;Burundi;Burundi;Burundi;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
119;64;BTN;Butão;Bhutan;Bhután;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
127;132;CPV;Cabo Verde;Cape Verde;Cabo Verde;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
137;136;CYM;Cayman, Ilhas;Cayman Islands;Caimán, Islas;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
141;116;KHM;Camboja;Cambodia;Camboya;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
145;120;CMR;Camarões;Cameroon;Camerún;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
