CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,CO_SH
2002,1,22042100,17,586,SP,9,910600,52654,52660,26951,2204
2002,11,22042900,17,586,PR,9,145300,74368,78200,25892,2204
2002,7,22042900,17,586,SC,7,145300,10982,10750,2460,2204
2002,11,22042100,17,87,RS,1,817800,110,858,2100,2204
2002,12,22042900,17,586,SC,7,145300,9919,9919,1608,2204
2002,3,22042900,17,586,RS,9,910600,580,580,308,2204
2002,10,22041010,17,97,SP,7,145200,1350,1358,3300,2204
2002,8,22042100,17,586,SC,9,145300,14572,14572,5517,2204
2002,2,22042100,17,586,RS,9,910600,158955,166501,77977,2204
2002,2,22042100,17,399,RS,1,1010500,11070,11070,14403,2204
2002,5,22042900,17,586,SC,7,145300,7372,7372,1919,2204
2002,10,22042100,17,586,SP,7,910600,524,529,199,2204
2002,12,22042900,17,586,RS,7,910600,260,260,99,2204
2002,1,22041090,17,345,SP,1,817800,9000,679,1725,2204
2002,11,22043000,17,586,PR,9,910651,1507,10643,3404,2204
2002,9,22042100,17,586,RS,7,910600,134872,134872,50972,2204
2002,3,22042100,17,586,SP,9,910600,124174,13340,6503,2204
2002,12,22042900,17,249,RS,1,1010500,2,100,2,2204
2002,9,22042900,17,399,RS,1,1010500,2760,2760,2490,2204
2002,7,22042100,17,586,RS,7,910600,125400,125400,50415,2204
2002,1,22042900,17,845,RS,9,1010252,7,84,49,2204
2002,4,22042100,17,586,SP,9,145300,524,525,127,2204
2002,10,22043000,17,586,PR,9,910651,1532,9221,2446,2204
2002,7,22042900,17,586,SC,9,145300,13560,13560,3718,2204
2002,9,22042900,17,845,RS,9,1011052,600,600,376,2204
2002,7,22042100,17,586,SP,9,145300,380,380,69,2204
2002,6,22042900,17,586,SC,7,145300,9968,9992,2124,2204
2002,3,22042100,17,399,RS,1,1010500,650,2925,9564,2204
2002,9,22042100,17,845,PR,4,717700,11980,11980,3244,2204
2002,9,22042100,17,586,SC,9,145300,15365,15365,7356,2204
2002,3,22042100,17,271,RS,1,1010500,5832,5832,11534,2204
2002,11,22042100,17,586,RS,7,910600,23100,23100,7191,2204
2002,8,22042900,17,399,RS,1,1010500,21000,21000,27300,2204
2002,8,22042900,17,586,SC,9,910600,736,736,206,2204
2002,8,22042100,17,275,RS,1,1010500,9000,9000,17240,2204
2002,5,22042900,17,586,SC,9,910600,162,184,61,2204
2002,8,22042100,17,586,RS,7,145300,17160,17160,5733,2204
2002,4,22043000,17,586,SP,7,145100,540,540,353,2204
2002,1,22042100,17,586,RS,9,910600,313339,313339,144876,2204
2002,7,22043000,17,586,PR,9,910651,1421,7356,2780,2204
2002,7,22042900,17,586,SC,9,910600,162,184,55,2204
2002,10,22042100,17,586,SC,7,145300,31839,31300,12598,2204
2002,1,22041010,17,249,SP,4,817600,203,321,745,2204
2002,1,22041010,17,586,SP,9,910600,675,675,2421,2204
2002,11,22042100,17,586,SP,7,910600,494,454,183,2204
2002,1,22043000,17,586,PR,9,910651,1268,1268,473,2204
2002,3,22042100,17,586,RJ,9,910600,8580,8580,4135,2204
2002,10,22042900,17,586,RS,9,910600,879,879,286,2204
2002,10,22042100,17,586,SC,9,145300,18480,18480,7278,2204
2002,6,22042100,17,586,SP,9,910600,301080,307,169,2204
2002,7,22041010,17,607,RJ,1,717600,29,44,27,2204
2002,2,22042100,17,586,SC,7,145300,17276,17276,9861,2204
2002,10,22042100,17,586,RS,7,910600,21600,21600,6218,2204
2002,2,22042100,17,586,RS,7,910600,7800,7800,3517,2204
2002,10,22042100,17,40,ND,1,717600,228,491,289,2204
2002,2,22042900,17,399,RS,1,1010500,27110,27110,12662,2204
2002,2,22042100,17,586,SC,9,145300,14572,14572,8488,2204
2002,5,22042900,17,845,RS,9,1010252,22,264,153,2204
2002,5,22042900,17,399,RS,1,1010500,2392,2392,2158,2204
2002,12,22043000,17,528,RS,1,817800,20,523,180,2204
2002,11,22041010,17,169,RS,1,1010500,2900,23960,29900,2204
2002,6,22042900,17,586,PR,9,145300,16280,20240,9391,2204
2002,4,22042900,17,845,RS,9,1010252,20,240,140,2204
2002,4,22042100,17,40,RJ,1,717600,20,14,84,2204
2002,3,22043000,17,586,PR,7,910651,1500,1500,551,2204
2002,1,22042100,17,586,RS,7,910600,16200,16200,7475,2204
2002,3,22042900,17,586,SC,9,910600,1932,2189,728,2204
2002,9,22043000,17,399,RS,1,1010500,3564,3564,5175,2204
2002,11,22042100,17,40,ND,1,717600,522,1583,1734,2204
2002,3,22042100,17,586,SC,7,145300,16896,16896,9966,2204
2002,8,22043000,17,586,PR,9,910651,2468,5187,2006,2204
2002,5,22042100,17,586,SC,9,145300,25344,25344,15244,2204
2002,2,22042100,17,586,SP,9,910600,6245,6256,3200,2204
2002,8,22042900,17,845,RS,4,717700,3970,3970,2016,2204
2002,2,22043000,17,586,PR,7,910651,1356,1356,518,2204
2002,6,22042100,17,586,RS,9,910600,84,84,36,2204
2002,7,22042900,17,586,PR,9,145300,19780,19780,6472,2204
2002,12,22043000,17,586,PR,9,910651,1796,18133,5841,2204
2002,9,22042900,17,586,RS,9,910600,603,603,266,2204
2002,1,22043000,17,586,RS,9,910600,1103,1103,926,2204
2002,10,22042100,17,586,RS,9,910600,480,480,160,2204
2002,11,22042100,17,586,PR,9,145300,8582,8582,2951,2204
2002,1,22041090,17,249,SP,4,817600,345,458,976,2204
2002,10,22042100,17,586,PR,7,145300,16417,16417,3492,2204
2002,6,22043000,17,586,PR,7,910651,180,180,100,2204
2002,9,22042900,17,586,SC,7,145300,13653,13653,3758,2204
2002,7,22042100,17,586,RJ,9,910600,60,60,28,2204
2002,11,22043000,17,586,RS,9,910651,190,2929,917,2204
2002,1,22042100,17,345,SP,1,817800,90000,7918,13470,2204
2002,6,22042100,17,586,SC,9,145300,27734,31701,12853,2204
2002,7,22042900,17,586,RS,9,910600,2103,2103,1031,2204
2002,9,22042900,17,586,PR,9,145300,10580,10580,3083,2204
2002,1,22042900,17,586,RS,9,910600,14466,14466,6918,2204
2002,10,22042900,17,586,SP,7,145300,21233,21233,4551,2204
2002,6,22043000,17,845,RS,9,1011200,32,32,43,2204
2002,4,22042100,17,40,ND,1,717600,120,80,208,2204
2002,7,22042900,17,845,SP,4,717700,1500,1500,367,2204
2002,9,22042100,17,249,PE,1,417800,320,3200,5649,2204
2002,6,22042900,17,586,SC,9,910600,812,920,300,2204
2002,4,22042100,17,586,RS,9,910600,996,996,457,2204
2002,3,22042900,17,845,RS,9,1011052,600,600,476,2204
2002,1,22043000,17,586,PR,7,910651,918,918,342,2204
2002,4,22042100,17,586,RS,7,910600,39570,39570,19011,2204
2002,6,22042100,17,586,RS,7,910600,12960,12960,5493,2204
