mpg;cylinders;displacement;horsepower;weight;acceleration;model year;origin;car name
18,00;8,00;307,00;130,00;3504,00;12,00;70,00;1,00;chevrolet chevelle malibu
15,00;8,00;350,00;165,00;3693,00;11,50;70,00;1,00;buick skylark 320
18,00;8,00;318,00;150,00;3436,00;11,00;70,00;1,00;plymouth satellite
16,00;8,00;304,00;150,00;3433,00;12,00;70,00;1,00;amc rebel sst
17,00;8,00;302,00;140,00;3449,00;10,50;70,00;1,00;ford torino
15,00;8,00;429,00;198,00;4341,00;10,00;70,00;1,00;ford galaxie 500
14,00;8,00;454,00;220,00;4354,00;9,00;70,00;1,00;chevrolet impala
14,00;8,00;440,00;215,00;4312,00;8,50;70,00;1,00;plymouth fury iii
14,00;8,00;455,00;225,00;4425,00;10,00;70,00;1,00;pontiac catalina
15,00;8,00;390,00;190,00;3850,00;8,50;70,00;1,00;amc ambassador dpl
NA;4,00;133,00;115,00;3090,00;17,50;70,00;2,00;citroen ds-21 pallas
NA;8,00;350,00;165,00;4142,00;11,50;70,00;1,00;chevrolet chevelle concours (sw)
NA;8,00;351,00;153,00;4034,00;11,00;70,00;1,00;ford torino (sw)
NA;8,00;383,00;175,00;4166,00;10,50;70,00;1,00;plymouth satellite (sw)
NA;8,00;360,00;175,00;3850,00;11,00;70,00;1,00;amc rebel sst (sw)
15,00;8,00;383,00;170,00;3563,00;10,00;70,00;1,00;dodge challenger se
14,00;8,00;340,00;160,00;3609,00;8,00;70,00;1,00;plymouth 'cuda 340
NA;8,00;302,00;140,00;3353,00;8,00;70,00;1,00;ford mustang boss 302
15,00;8,00;400,00;150,00;3761,00;9,50;70,00;1,00;chevrolet monte carlo
14,00;8,00;455,00;225,00;3086,00;10,00;70,00;1,00;buick estate wagon (sw)
24,00;4,00;113,00;950,00;2372,00;15,00;70,00;3,00;toyota corona mark ii
22,00;6,00;198,00;950,00;2833,00;15,50;70,00;1,00;plymouth duster
18,00;6,00;199,00;970,00;2774,00;15,50;70,00;1,00;amc hornet
21,00;6,00;200,00;850,00;2587,00;16,00;70,00;1,00;ford maverick
27,00;4,00;970,00;880,00;2130,00;14,50;70,00;3,00;datsun pl510
26,00;4,00;970,00;460,00;1835,00;20,50;70,00;2,00;volkswagen 1131 deluxe sedan
25,00;4,00;110,00;870,00;2672,00;17,50;70,00;2,00;peugeot 504
24,00;4,00;107,00;900,00;2430,00;14,50;70,00;2,00;audi 100 ls
25,00;4,00;104,00;950,00;2375,00;17,50;70,00;2,00;saab 99e
26,00;4,00;121,00;113,00;2234,00;12,50;70,00;2,00;bmw 2002
21,00;6,00;199,00;900,00;2648,00;15,00;70,00;1,00;amc gremlin
10,00;8,00;360,00;215,00;4615,00;14,00;70,00;1,00;ford f250
10,00;8,00;307,00;200,00;4376,00;15,00;70,00;1,00;chevy c20
11,00;8,00;318,00;210,00;4382,00;13,50;70,00;1,00;dodge d200
9,00;8,00;304,00;193,00;4732,00;18,50;70,00;1,00;hi 1200d
27,00;4,00;970,00;880,00;2130,00;14,50;71,00;3,00;datsun pl510
28,00;4,00;140,00;900,00;2264,00;15,50;71,00;1,00;chevrolet vega 2300
25,00;4,00;113,00;950,00;2228,00;14,00;71,00;3,00;toyota corona
25,00;4,00;980,00;NA;2046,00;19,00;71,00;1,00;ford pinto
NA;4,00;970,00;480,00;1978,00;20,00;71,00;2,00;volkswagen super beetle 117
19,00;6,00;232,00;100,00;2634,00;13,00;71,00;1,00;amc gremlin
16,00;6,00;225,00;105,00;3439,00;15,50;71,00;1,00;plymouth satellite custom
17,00;6,00;250,00;100,00;3329,00;15,50;71,00;1,00;chevrolet chevelle malibu
19,00;6,00;250,00;880,00;3302,00;15,50;71,00;1,00;ford torino 500
18,00;6,00;232,00;100,00;3288,00;15,50;71,00;1,00;amc matador
14,00;8,00;350,00;165,00;4209,00;12,00;71,00;1,00;chevrolet impala
14,00;8,00;400,00;175,00;4464,00;11,50;71,00;1,00;pontiac catalina brougham
14,00;8,00;351,00;153,00;4154,00;13,50;71,00;1,00;ford galaxie 500
14,00;8,00;318,00;150,00;4096,00;13,00;71,00;1,00;plymouth fury iii
12,00;8,00;383,00;180,00;4955,00;11,50;71,00;1,00;dodge monaco (sw)
13,00;8,00;400,00;170,00;4746,00;12,00;71,00;1,00;ford country squire (sw)
13,00;8,00;400,00;175,00;5140,00;12,00;71,00;1,00;pontiac safari (sw)
18,00;6,00;258,00;110,00;2962,00;13,50;71,00;1,00;amc hornet sportabout (sw)
22,00;4,00;140,00;720,00;2408,00;19,00;71,00;1,00;chevrolet vega (sw)
19,00;6,00;250,00;100,00;3282,00;15,00;71,00;1,00;pontiac firebird
18,00;6,00;250,00;880,00;3139,00;14,50;71,00;1,00;ford mustang
23,00;4,00;122,00;860,00;2220,00;14,00;71,00;1,00;mercury capri 2000
28,00;4,00;116,00;900,00;2123,00;14,00;71,00;2,00;opel 1900
30,00;4,00;790,00;700,00;2074,00;19,50;71,00;2,00;peugeot 304
30,00;4,00;880,00;760,00;2065,00;14,50;71,00;2,00;fiat 124b
31,00;4,00;710,00;650,00;1773,00;19,00;71,00;3,00;toyota corolla 1200
35,00;4,00;720,00;690,00;1613,00;18,00;71,00;3,00;datsun 1200
27,00;4,00;970,00;600,00;1834,00;19,00;71,00;2,00;volkswagen model 111
26,00;4,00;910,00;700,00;1955,00;20,50;71,00;1,00;plymouth cricket
24,00;4,00;113,00;950,00;2278,00;15,50;72,00;3,00;toyota corona hardtop
25,00;4,00;97.50;800,00;2126,00;17,00;72,00;1,00;dodge colt hardtop
23,00;4,00;970,00;540,00;2254,00;23,50;72,00;2,00;volkswagen type 3
20,00;4,00;140,00;900,00;2408,00;19,50;72,00;1,00;chevrolet vega
21,00;4,00;122,00;860,00;2226,00;16,50;72,00;1,00;ford pinto runabout
13,00;8,00;350,00;165,00;4274,00;12,00;72,00;1,00;chevrolet impala
14,00;8,00;400,00;175,00;4385,00;12,00;72,00;1,00;pontiac catalina
15,00;8,00;318,00;150,00;4135,00;13,50;72,00;1,00;plymouth fury iii
14,00;8,00;351,00;153,00;4129,00;13,00;72,00;1,00;ford galaxie 500
17,00;8,00;304,00;150,00;3672,00;11,50;72,00;1,00;amc ambassador sst
11,00;8,00;429,00;208,00;4633,00;11,00;72,00;1,00;mercury marquis
13,00;8,00;350,00;155,00;4502,00;13,50;72,00;1,00;buick lesabre custom
12,00;8,00;350,00;160,00;4456,00;13,50;72,00;1,00;oldsmobile delta 88 royale
13,00;8,00;400,00;190,00;4422,00;12,50;72,00;1,00;chrysler newport royal
19,00;3,00;700,00;970,00;2330,00;13,50;72,00;3,00;mazda rx2 coupe
15,00;8,00;304,00;150,00;3892,00;12,50;72,00;1,00;amc matador (sw)
13,00;8,00;307,00;130,00;4098,00;14,00;72,00;1,00;chevrolet chevelle concours (sw)
13,00;8,00;302,00;140,00;4294,00;16,00;72,00;1,00;ford gran torino (sw)
14,00;8,00;318,00;150,00;4077,00;14,00;72,00;1,00;plymouth satellite custom (sw)
18,00;4,00;121,00;112,00;2933,00;14,50;72,00;2,00;volvo 145e (sw)
22,00;4,00;121,00;760,00;2511,00;18,00;72,00;2,00;volkswagen 411 (sw)
21,00;4,00;120,00;870,00;2979,00;19,50;72,00;2,00;peugeot 504 (sw)
26,00;4,00;960,00;690,00;2189,00;18,00;72,00;2,00;renault 12 (sw)
22,00;4,00;122,00;860,00;2395,00;16,00;72,00;1,00;ford pinto (sw)
28,00;4,00;970,00;920,00;2288,00;17,00;72,00;3,00;datsun 510 (sw)
